api_id,api_name,function_name,template_kind,category,sub_category,url,enabled
ust31292,목표환율 자동환전 신청,ust31292,rest,해외주식,기타,/api/us/etc,Y
ust31300,외화환전신청,ust31300,rest,해외주식,기타,/api/us/etc,Y
ust31301,외화환전신청,ust31301,rest,해외주식,기타,/api/us/etc,Y
ust31302,외화환전신청,ust31302,rest,해외주식,기타,/api/us/etc,Y
ust31490,미국주식 주문가능수량(종목/증거금률별),ust31490,rest,해외주식,주문,/api/us/ordr,Y
ust31500,미국주식 반대매매 예정내역,ust31500,rest,해외주식,계좌,/api/us/acnt,Y
ust31510,미국주식 미수금 내역조회,ust31510,rest,해외주식,계좌,/api/us/acnt,Y
ust31520,미국주식 배당금 입금 내역,ust31520,rest,해외주식,계좌,/api/us/acnt,Y
ust31521,미국주식 배당금 입금 내역,ust31521,rest,해외주식,계좌,/api/us/acnt,Y
ust71920,해외주식 통합증거금 상세조회,ust71920,rest,해외주식,기타,/api/us/etc,Y
00,주문체결,subscribe_domestic_order_fill,websocket_realtime,국내주식,실시간시세,/api/dostk/websocket,Y
04,잔고,subscribe_domestic_balance,websocket_realtime,국내주식,실시간시세,/api/dostk/websocket,Y
0A,주식기세,subscribe_domestic_stock_surge,websocket_realtime,국내주식,실시간시세,/api/dostk/websocket,Y
